"term","description","category","English","Japanese","Russian","French","German","Spanish","Portuguese (Brazil)","Chinese (Simplified)","Chinese (Traditional)","Korean","PolskI","Output Localization"
"REFS/DECORATION ICONS: https://www.dropbox.com/sh/g89o8ztnnnza8pl/AABlSXf_QVzAq5JhtVu44FLWa?dl=0","","","","","","","","","","","","","","""REFS/DECORATION ICONS: https://www.dropbox.com/sh/g89o8ztnnnza8pl/AABlSXf_QVzAq5JhtVu44FLWa?dl=0"", """""
"REFS/ACHIEVEMENT ICONS: https://www.dropbox.com/sh/piy9ek0cwxhvsyy/AABGLGVslC-ALr-Robl0T2kba?dl=0","","","","","","","","","","","","","","""REFS/ACHIEVEMENT ICONS: https://www.dropbox.com/sh/piy9ek0cwxhvsyy/AABGLGVslC-ALr-Robl0T2kba?dl=0"", """""
"REFS/DOCTRINE UPGRADE SYSTEM ICONS: https://www.dropbox.com/sh/66ah93yxusarote/AAB6zoYgp6HcGdL5D-y2OP24a?dl=0","","","","","","","","","","","","","","""REFS/DOCTRINE UPGRADE SYSTEM ICONS: https://www.dropbox.com/sh/66ah93yxusarote/AAB6zoYgp6HcGdL5D-y2OP24a?dl=0"", """""
"FONTS/BodyFonts","Do not Localize, font localisation","","Fonts/Body/FiraSans-Regular SDF","Fonts/LocalisedFonts/Japanese/notoSansJP-Regular SDF","Fonts/LocalisedFonts/Russian/notoSans-Regular SDF","Fonts/Body/FiraSans-Regular SDF","Fonts/Body/FiraSans-Regular SDF","Fonts/Body/FiraSans-Regular SDF","Fonts/Body/FiraSans-Regular SDF","Fonts/LocalisedFonts/Chinese(Simplified)/Chinese(Simplified)-NotoSansSC-Regular SDF","Fonts/LocalisedFonts/Chinese(Tranditional)/Chinese(Traditional)-NotoSansTC-Regular SDF","Fonts/LocalisedFonts/Korean/notoSansKR-Regular SDF","Czcionki/Treść/FiraSans-Regular SDF","""FONTS/BodyFonts"", """""
"FONTS/HeadingFonts","Do not Localize, font localisation","","Fonts/Headings/LaptureRegular","Fonts/LocalisedFonts/Japanese/notoSansJP-Regular SDF","Fonts/LocalisedFonts/Russian/notoSans-Regular SDF","Fonts/Headings/LaptureRegular","Fonts/Headings/LaptureRegular","Fonts/Headings/LaptureRegular","Fonts/Headings/LaptureRegular","Fonts/LocalisedFonts/Chinese(Simplified)/Chinese(Simplified)-NotoSansSC-Regular SDF","Fonts/LocalisedFonts/Chinese(Tranditional)/Chinese(Traditional)-NotoSansTC-Regular SDF","Fonts/LocalisedFonts/Korean/notoSansKR-Regular SDF","Czcionki/Kursy/Laptureregularne","""FONTS/HeadingFonts"", """""
"FONTS/Numbers_Outline","Do not Localize, font localisation","","Fonts/Headings/LaptureBold - Outline","Fonts/Headings/LaptureBold - Outline","Fonts/Headings/LaptureBold - Outline","Fonts/Headings/LaptureBold - Outline","Fonts/Headings/LaptureBold - Outline","Fonts/Headings/LaptureBold - Outline","Fonts/Headings/LaptureBold - Outline","Fonts/Headings/LaptureBold - Outline","Fonts/Headings/LaptureBold - Outline","Fonts/Headings/LaptureBold - Outline","Czcionki/nagłówki/LaptureBold - zarys","""FONTS/Numbers_Outline"", """""
"Credits/AGameBy","Saying who the game was made by","9","A Game By","A Game By","Разработчик","Un jeu développé par","Ein Spiel von","Un juego de","Um jogo da","开发","開發","제작사","Gra stworzona przez","""Credits/AGameBy"", ""Gra stworzona przez"""
"Credits/DevolverDigital","The publisher, not to Localize?","9","Devolver Digital","Devolver Digital","Devolver Digital","Devolver Digital","Devolver Digital","Devolver Digital","Devolver Digital","Devolver Digital","Devolver Digital","Devolver Digital","Devolver Digital","""Credits/DevolverDigital"", ""Devolver Digital"""
"Credits/MassiveMonster","The developer,not to Localize?","9","Massive Monster","Massive Monster","Massive Monster","Massive Monster","Massive Monster","Massive Monster","Massive Monster","Massive Monster","Massive Monster","Massive Monster","Massive Monster","""Credits/MassiveMonster"", ""Massive Monster"""
"Credits/PublishedBy","Who published the game","9","Published By","Published By","Издатель","Publié par","Publisher","Publicado por","Publicado por","发行","發行","배급사","Wydana Przez","""Credits/PublishedBy"", ""Opu"""
"Credits/JobTitles/CreativeDirector","Job Titles","15","Creative Director","Creative Director","Творческое руководство","Direction créative","Creative Director","Dirección creativa","Direção de criação","创意总监","創意總監","크리에이티브 디렉터","Dyrektor Twórczy","""Credits/JobTitles/CreativeDirector"", """""
"Credits/JobTitles/ArtDirector","Job Titles","15","Art Director","Art Director","Художественное руководство","Direction artistique","Art Director","Dirección de arte","Direção de arte","美术总监","美術總監","아트 디렉터","Kierownik Artystyczny","""Credits/JobTitles/ArtDirector"", """""
"Credits/JobTitles/DesignDirector","Job Titles","15","Design Director","Design Director","Дизайнерское руководство","Direction de la conception","Design Director","Dirección de diseño","Direção de design","设计总监","設計總監","디자인 디렉터","Dyrektor Designu","""Credits/JobTitles/DesignDirector"", """""
"Credits/JobTitles/Code","Job Titles","15","Code","Code","Программирование","Programmation","Programmcode","Programación","Programação","程序","程式","코딩","Kod","""Credits/JobTitles/Code"", """""
"Credits/JobTitles/Art","Job Titles","15","Art","Art","Художественная работа","Graphismes","Grafik","Arte","Arte","美术","美術","아트","Grafika","""Credits/JobTitles/Art"", """""
"Credits/JobTitles/Story","Job Titles","15","Story","Story","Сценарий","Scénario","Story","Historia","História","剧情","劇情","스토리","Historia","""Credits/JobTitles/Story"", """""
"Credits/JobTitles/Music","Job Titles","15","Music","Music","Музыка","Musique","Musik","Música","Música","音乐","音樂","음악","Muzyka","""Credits/JobTitles/Music"", """""
"Credits/JobTitles/Sfx","Job Titles","15","Sfx","Sfx","Спецэффекты","Effets sonores","Soundeffekte","Efectos","Efeitos sonoros","音效","音效","SFX","Sfx","""Credits/JobTitles/Sfx"", """""
"Credits/JobTitles/VO","Job Titles","15","Voice Over","Voice Over","Озвучение","Doublage","Sprachaufnahmen","Locución","Dublagem","配音","配音","더빙","Dubbing","""Credits/JobTitles/VO"", """""
"Credits/JobTitles/QA","Job Titles","15","Quality Assurance","Quality Assurance","Контроль качества","Assurance qualité","Qualitätskontrolle","Control de calidad","Controle de qualidade","质量保证","品質保證","QA","Zapewnienie jakości","""Credits/JobTitles/QA"", """""
"Credits/JobTitles/Publishing","Job Titles","15","Publishing","Publishing","Издание","Édition","Publishing","Publicación","Publicação","发行","發行","배급","Publikacja","""Credits/JobTitles/Publishing"", """""
"Credits/JobTitles/Porting","Job Titles - porting to each platform","15","Game Porting","Game Porting","Портирование","Portage","Spielportierung","Portabilidad","Portabilidade do jogo","游戏移植","遊戲移植","게임 이식","Portowanie Gry","""Credits/JobTitles/Porting"", """""
"Credits/JobTitles/Localization","Job Titles","15","Localization","Localization","Локализация","Localisation","Lokalisation","Localización","Localização","本地化","在地化","현지화","Lokalizacja","""Credits/JobTitles/Localization"", """""
"Credits/JobTitles/TrailerAnimations","Job Titles","15","Trailer Animations","Trailer Animations","Анимация трейлеров","Animation des cinématiques","Trailer-Animation","Animaciones del tráiler","Animação de trailers","预告片动画","預告片動畫","트레일러 애니메이션","Animacje Trailerów","""Credits/JobTitles/TrailerAnimations"", """""
"Credits/JobTitles/SpecialThanks","Job Titles - thanking anyone who helped with game","15","Special Thanks","Special Thanks","Особая благодарность","Remerciements","Besonderer Dank","Agradecimientos especiales","Agradecimentos especiais","特别感谢","特別鳴謝","특별히 감사하는 분","Specjalne podziękowania dla","""Credits/JobTitles/SpecialThanks"", """""
"Credits/JobTitles/Tech","Job Titles - Technology usd","15","Tech","Tech","Технологии","Technologie","Technik","Herramientas","Tecnologia","技术","技術","기술","Technologia","""Credits/JobTitles/Tech"", """""
"Credits/JobTitles/Animation","Job Titles","15","Animation","Animation","Анимация","Animation","Animation","Animación","Animação","动画","動畫","애니메이션","Animacja","""Credits/JobTitles/Animation"", """""
"Credits/JobTitles/LevelDesign","Job Titles","15","Additional Level Design","Additional Level Design","Дополнительный дизайн уровней","Aide conception de niveaux","Zusätzliches Leveldesign","Diseño adicional de niveles","Design de níveis adicional","额外关卡设计","額外關卡設計","추가 레벨 디자인","Dodatkowy projekt poziomów","""Credits/JobTitles/LevelDesign"", """""
"Credits/Thanks","FInal thanks for playing the game played in the credits after beating the game","200","Thank you for playing noble disciple, Please spread the good word near and far so that others may be blessed by the divine teachings of the mighty Lamb","ゲームをプレイしてくれてありがとう、忠実なる信者よ。より多くの者が祝福を受けられるよう、偉大なる子羊の神聖なるお教えを広く知らしめてくれ","Спасибо, что прошли игру. Несите добрую весть в народ, чтобы распространить учение великого ягнёнка по всей земле.","Merci d'avoir joué, noble disciple. N'hésitez pas à prêcher la bonne parole autour de vous afin que tout le monde puisse profiter des enseignements de l'honorable Agneau !","Vielen Dank, dass Du unser Spiel spielst, edler Jünger. Bitte verbreite das gute Wort nah und fern, damit auch andere durch die göttlichen Lehren des mächtigen Lammes gesegnet werden können","Gracias por jugar, noble aprendiz. Difunde la palabra allá a donde vayas para que más adeptos puedan recibir la bendición de las enseñanzas del todopoderoso Cordero.","Obrigado por jogar, nobre discípulo. Espalhe a boa palavra por todos os cantos para que outras pessoas sejam abençoadas pelos ensinamentos divinos do poderoso Cordeiro.","高贵的门徒啊，谢谢你游玩本作。请把好口碑广传出去，让各地的人也能接受伟大圣羊神圣教诲的洗礼","高貴的門徒啊，謝謝你遊玩本作。請把好口碑廣傳出去，讓各地的人也能接受偉大聖羊神聖教誨的洗禮","고귀한 사도의 역할을 맡아주셔서 감사합니다. 주변에도 복음을 전파하시어 다른 이들 또한 위대한 어린 양의 신성한 가르침에 축복받을 수 있게 해주세요.","Dziękujemy za grę w ""Szlachetny Uczeń"". Proszę, siej dobre słowa blisko i daleka, aby inni też mogli być pobłogosławieni przez boskie nauki potężnej Owieczki","""Credits/Thanks"", """""
"Credits/","","","","","","","","","","","","","","""Credits/"", """""
"Credits/JobTitles/PR","Job Titles, refers to public relations","15","PR","PR","Связи с общественностью","Relations publiques","PR","Relaciones públicas","Relações públicas","公关","公共關係","PR","PR","""Credits/JobTitles/PR"", """""
"Credits/JobTitles/SocialMedia","Job Titles, refers to the person who runs our social media","15","Community Manager","Community Manager","Ведение социальных сетей","Gestion des réseaux sociaux","Community Manager","Gestión de redes sociales","Gerente de mídias sociais","社交媒体经理","社群媒體經理","커뮤니티 매니저","Menadżer Społeczności","""Credits/JobTitles/SocialMedia"", """""
"Credits/JobTitles/DiscordMod","Job Titles, People who moderate the discord","15","Discord Moderators","Discord Moderators","Модерация Discord","Modérateurs Discord","Discord-Moderatoren","Moderadores de desacuerdos","Moderadores do Discord","Discord 版主","Discord 版主","Discord 관리자","Moderatorzy Discorda","""Credits/JobTitles/DiscordMod"", """""
"Credits/JobTitles/TwitchIntergration","Job Titles, People who created twitch plugin","15","Twitch Integration","Twitch Integration","Интеграция с Twitch","Intégration Twitch","Twitch-Einbindung","Integración en Twitch","Integração com a Twitch","Twitch 整合","Twitch 整合","Twitch 연동","Integracja z Twitchem","""Credits/JobTitles/TwitchIntergration"", """""
"QUOTE/IntroQuote","Quote that plays at start of the game, a prophecy that predicts the coming of a Lamb to free the One that Waits - part 1","98","Praise the Lamb, conduit to great power, promised liberator of the One Who Waits below.","子羊を称えよ。かの子羊は大いなる力を授かり、囚われの待ち受けし者を解放するだろう。","Славься, агнец; тебе дарована великая сила, чтобы освободить Того-кто-ждёт в небытии.","Gloire à l'Agneau qui se verra confier de grands pouvoirs pour libérer Celui qui attend dans l'au-delà.","Gelobt sei das Lamm, Wegbereiter großer Macht und verheißener Befreier von Jenem, der wartet.","Alabado sea el Cordero, portador del gran poder, prometido libertador de Aquel Que Espera en las profundidades.","Louvado seja o Cordeiro, canalizador de um grande poder, libertador prometido d’Aquele Que Espera lá embaixo.","赞颂圣羊，迈向伟大力量的连结，预言中解放下界待终冠主的圣者。","讚頌聖羊，邁向偉大力量的連結，預言中解放下界待終冠主的聖者。","어린 양을 찬양할지라, 위대한 힘의 전달자요, 아래에서 기다리는 자의 약속된 해방자이니.","Chwalcie Owieczkę, łącznik z wielką mocą, obiecanego wyzwoliciela tego, co czeka pod.","""QUOTE/IntroQuote"", """""
"QUOTE/IntroQuote2","Quote that plays at start of the game, meaning to be careful because only one person can wear a crown - part 2","98","Yet sacrificial beast, take heed; for a Crown cannot sit upon two brows.","されど贄なる獣よ、用心せよ。王冠が二つの頭に乗ることは決してないのだから。","Но берегись заклания, ибо корона не может возлежать на двух головах.","Prends garde, bête sacrificielle, car deux agneaux ne peuvent partager une seule Couronne.","Nimm dich in Acht, Opferlamm, denn die Krone kann nur auf einem Kopfe sitzen.","Aun así, bestia del sacrificio, ve con cuidado, pues una corona no puede posarse sobre dos cabezas.","Todavia, besta do sacrifício, preste atenção, pois uma Coroa não pode repousar sobre duas cabeças.","献祭的狂兽啊，你却要当心了，两颗额颅可无法共戴一顶圣冠。","獻祭狂獸啊，你卻要當心了，兩顆額顱可無法共戴一頂聖冠。","허나 제물로 바쳐진 짐승이여, 명심할지어다. 왕관은 오직 하나의 머리 위에 앉혀질 것임을.","Jednak, zwierzę ofiarne, pamiętaj; Korona nie może leżeć na dwóch głowach.","""QUOTE/IntroQuote2"", """""
"QUOTE/QuoteBoss1","Played after beating first boss, Meaning that what is the point of an individual but for the the effect that individual can have on others","98","What is a Shepherd without a flock?","信者なき指導者に、一体何の意味があろう？","Что есть пастырь без стада?","Qu'est-ce qu'un Berger sans son troupeau ?","Was ist ein Hirte ohne seine Herde?","¿Qué es un Pastor sin su rebaño?","O que seria de um Pastor sem um rebanho?","何为牧者没了羊群？","何為沒了羊群的牧者？","이끌 짐승이 없는 자는 양치기가 아니다.","Czym jest pasterz bez swojej trzody?","""QUOTE/QuoteBoss1"", """""
"QUOTE/QuoteBoss2","Played after beating second boss, Basic meaning the lamb is a leader who can lead others into a new future","98","And the Shepherd shall make a way in the wilderness; rivers in the desert; and light in the dark.","そして指導者は森の中に道を切り開き、砂漠の中に川を生み出し、闇の中に光を灯すだろう。","Пастырь творит дороги в лесной чаще, реки в пустыне и свет во тьме.","Le Berger devra tracer un chemin dans la forêt, former des rivières dans le désert, et répandre la lumière dans l'obscurité.","Und der Hirte wird einen Pfad durch die Wildnis bahnen, Flüsse in die Wüste bringen und Licht ins Dunkel.","El Pastor se hará camino entre la maleza, formará ríos en el desierto y despertará la luz en la oscuridad.","E o Pastor há de criar um caminho na floresta, rios nos desertos e luz na escuridão.","而牧者应辟荒野之路，开沙漠之河，点暗中之光。","而牧者應闢荒野之路，開沙漠之河，點暗中之光。","또한 양치기는 황야에서의 길을 찾는 자요, 사막에서 물을 찾는 자요, 어둠 속의 빛이로다.","Więc Pasterz wejdzie w dzicz; Rzeki w Pustyni; i światło w ciemności.","""QUOTE/QuoteBoss2"", """""
"QUOTE/QuoteBoss3","Played after beating the third boss. Meaning that the world has changed and those who were once powerless are now powerful","98","Suffering shall turn to triumph; that which once did perish shall now prey.","苦しみは勝利へと変わるだろう。そしてかつて滅びし者は、奪う側へと回るだろう。","Страдание обернётся триумфом, и тот, кто был жертвой, станет палачом.","La souffrance d'autrefois sera le triomphe de demain. Ce qui devait périr jadis dominera à l'avenir.","Das Leiden wird sich in einen Triumph kehren und was einst zugrunde ging, soll fortan Beute machen.","El sufrimiento se convertirá en triunfo, y las presas en depredadores.","O sofrimento há de se tornar triunfo. Aquele que pereceu, agora há de predar.","苦难将化为胜利；以往死去的，如今将攫食。","苦難將化為勝利；以往死去的，如今將攫食。","고통은 환희로 바뀌나니, 과거의 죽은 자가 사냥을 한다.","Niechaj cierpienie stanie się triumfem; Wszystko, co kiedyś ginęło będzie żerować.","""QUOTE/QuoteBoss3"", """""
"QUOTE/QuoteBoss4","Played after beating fourth boss, asking the Player to consider whether or not they making their own decisions","98","Lamb, once slaughtered in the name of the Captive God, ponder this; whose name does thou slaughter in now?","かつて、囚われの神の名の下に殺された子羊よ、考えたまえ。これからは誰の名の下に殺しを成せばよいのだろうか？","О агнец, тебя принесли в жертву ради спасения от пленённого бога. Во имя кого приносишь жертвы ты?","Agneau, créature promise à une mort certaine par le Dieu captif. Questionne-toi. Au nom de qui combats-tu aujourd'hui ?","Lamm, das einst im Namen des Gefangenen Gottes geschlachtet wurde, bedenke dies: In wessen Namen schlachtest du nun selbst?","Oh, Cordero que sufrió el sacrificio en nombre del Dios Cautivo, ¿en qué nombre matarás a partir de ahora?","Cordeiro, abatido em nome do Deus Cativo, pondere: em nome de quem abates agora?","曾以俘虏神祇之名被屠杀的圣羊啊，仔细想想：如今你又是以谁之名下手屠杀？","曾以俘虜神祇之名被屠殺的聖羊啊，仔細想想：如今你又是以誰之名下手屠殺？","어린 양이여, 붙잡힌 신의 이름으로 살육을 하던 양이여, 생각할지어다. 그대는 이제 누구의 이름으로 살육을 자행하는가?","Jagnię, kiedyś zabijane w imię Zniewolonego Boga, rozważ; W imieniu kogo mordujesz teraz?","""QUOTE/QuoteBoss4"", """""
"QUOTE/QuoteBoss5","Played after beating the final boss, Meaning that the player is now victorious and is the true leader of their Cult and has become a god.","98","Sacrifice reborn Vessel, ascend once more and take true form; no longer a servant, no less than a God.","生まれ変わりし器よ、贄となって再び天へ昇り、真の姿となりたまえ。その身はもはや下僕ではなく、神に等しい。","Отдай свою жизнь, возрождённый агнец, воскресни вновь и прими истинный облик, ибо настало время слуге стать божеством.","La bête sacrificielle s'est affranchie de son maître pour révéler sa véritable forme. Elle ne sera plus esclave désormais, car elle s'est élevée au rang de divinité.","Als Gefäß wiedergeborenes Opfer, steige ein weiteres Mal empor und nimm wahre Gestalt an; nicht länger ein Diener, kein Geringerer als ein Gott.","Receptáculo renacido, asciende una vez más y toma tu verdadera forma. Ya no eres ningún sirviente, sino un verdadero Dios.","Sacrifício que renasce como Receptáculo, ascenda mais uma vez e assuma sua verdadeira forma: não mais um servo, nada menos que um Deus.","祭品重生为役器，再次飞升并展现真实之姿；不再是仆人，不再低于神。","祭品重生為器皿，再次飛昇並展現真實之姿；不再是僕人，不低於神。","다시 태어난 그릇을 번제하라, 다시 한 번 승천하여 진정한 형태를 취하라. 그대는 더 이상 하인이 아니요, 신의 아래가 아닐지다.","Poświęcaj odrodzone naczynie, wznieś się jeszcze raz i przybierz prawdziwą formę; Nie będąc już sługą, nie mniej niż Bogiem.","""QUOTE/QuoteBoss5"", """""
"QUOTE/","GAME STORY REF: https://docs.google.com/document/d/1mTeSe1U14h3YO2EpBdpu13qQwe_uX9KZYiWWrLjIBKY/edit?usp=sharing","","","","","","","","","","","","","""QUOTE/"", """""
"TarotCards/EnemyBlast/Description","Curses","75","Knocks back enemies within your range while also damaging them.","範囲内の敵をノックバックしダメージを与える。","Вы отбрасываете врагов, нанося урон.","Repousse et blesse les ennemis à portée.","Wirft Gegner in deiner Reichweite zurück und fügt ihnen gleichzeitig Schaden zu.","Daña a los enemigos dentro de su alcance y los hace retroceder.","Empurra os inimigos ao seu alcance para trás e causa dano a eles.","击退范围内的敌人，同时造成伤害。","擊退範圍內的敵人，同時造成傷害。","범위 내에 있는 적들을 밀쳐냄과 동시에 피해를 줍니다.","Odrzuca wrogów w twoim zasięgu i zadaje im obrażenia.","""TarotCards/EnemyBlast/Description"", """""
"TarotCards/EnemyBlast/Lore","Curses","26","A curse against those unworthy of your presence.","敵とみなした者どもに対抗するための呪い。","Проклятие для тех, кто недостоин быть рядом с вами.","Maléfice pour les êtres indignes de votre présence.","Verflucht alle, die deiner Gegenwart unwürdig sind.","Una maldición contra los indignos de tu presencia.","Uma maldição para aqueles indignos de sua presença.","咒术之一，攻击不配出现在你眼前的敌人。","咒術之一，攻擊不配出現在你眼前的敵人。","당신의 존재에 걸맞지 않은 자들에게 내리는 저주이다.","Klątwa przeciwko tym, którzy nie zasługują na twoją obecność.","""TarotCards/EnemyBlast/Lore"", """""
"TarotCards/EnemyBlast/Name","Curses","13","Divine Blast","エネミーブラスト","Божественный взрыв","Rafale divine","Göttliche Explosion","Explosión divina","Explosão Divina","神圣爆炸","神聖爆炸","신성한 일격","Boski Wybuch","""TarotCards/EnemyBlast/Name"", """""
"TarotCards/Fireball/Description","Curses","75","Shoot a piercing bolt of fire.","炎の塊で敵を貫く。","Вы выпускаете огненный снаряд, проходящий сквозь врагов.","Tire un éclair de feu aveuglant.","Feuere einen durchdringenden Feuerbolzen ab.","Dispara un rayo de fuego desgarrador.","Dispare um raio de fogo perfurante.","射出一团火球穿刺敌人。","射出一團火球穿刺敵人。","맹렬한 화염의 화살을 발사합니다.","Wystrzel przebijającą strzałę ognia.","""TarotCards/Fireball/Description"", """""
"TarotCards/Fireball/Lore","Curses","26","Send forth the flames of the Underworld.","冥界の炎を射出せよ。","Пламя мира мёртвых очистит мир смертных.","Invoque les flammes des enfers.","Entfessele die Flammen der Unterwelt.","Lanza hacia delante las llamas del Inframundo.","Invoque as chamas do Submundo.","放射出冥界的火焰。","放射出冥界的火焰。","저승의 화염을 앞으로 발사한다.","Ujarzmij płomienie Zaświatów.","""TarotCards/Fireball/Lore"", """""
"TarotCards/Fireball/Name","Curses","13","Flaming Shot","炎の魔弾","Пылающий выстрел","Tir de feu","Flammenschuss","Disparo flameante","Tiro Flamejante","烈焰弹","烈焰彈","불타는 사격","Strzał Ognia","""TarotCards/Fireball/Name"", """""
"TarotCards/ProjectileAOE/Name","Curses","75","Ichor Thrown","イコルの海","Бросок ихора","Flux d'ichor","Ichor-Auswurf","Tiro de icor","Icor Derramado","灵液四溅","神血潑濺","이코르 투척","Ichor Rzucony","""TarotCards/ProjectileAOE/Name"", """""
"TarotCards/ProjectileAOE/Lore","Curses","26","Part the oceans of blood.","血の海を割って道を作れ。","Да расступится океан крови.","Une vague de sang s'abattra sur vos ennemis.","Teile die Meere aus Blut.","Separa los océanos de sangre.","Abra o mar de sangue.","泼洒大量腐血。","潑灑大量腐血。","피바다를 가른다.","Rozdziel oceany krwi.","""TarotCards/ProjectileAOE/Lore"", """""
"TarotCards/ProjectileAOE/Description","Curses","13","A projectile that spreads black Ichor on landing.","着弾位置に黒いヘドロ状の液体をばらまく弾を射出する。","Вы выпускаете снаряд, растекающийся чёрным ихором.","Projectile répandant de l'ichor sur le sol.","Ein Projektil, das schwarzen Ichor versprüht.","Un proyectil que esparce icor al llegar al suelo.","Projétil de gosma preta.","触地时爆出黑色神血的投射物。","觸地時爆出黑色神血的投射物。","바닥에 착지 시 검은 이코르를 퍼뜨리는 투사체입니다.","Pocisk rozprzestrzeniający czarny Ichor przy lądowaniu.","""TarotCards/ProjectileAOE/Description"", """""
"TarotCards/Vortex/Name","Curses","75","The Gates","ザ・ゲート","Врата","Portail","Die Tore","Las Puertas","Os Portões","异界之门","異界之門","관문","Bramy","""TarotCards/Vortex/Name"", """""
"TarotCards/Vortex/Lore","Curses","26","We must all pass through, in time.","すべての者は遅かれ早かれこの門を通る。","Все мы пройдём через них в своё время.","Nous le traverserons tous, en temps voulu.","Da müssen wir irgendwann alle durch.","Todos debemos cruzarlas tarde o temprano.","Em algum momento, todos devemos atravessá-los.","所有人总有一天都必须穿越。","所有人總有一天都必須穿越。","우리 모두 제 때에 들어가야 합니다.","Wszyscy musimy przejść, w swoim czasie.","""TarotCards/Vortex/Lore"", """""
"TarotCards/Vortex/Description","Curses","13","Create a vortex that pulls enemies towards it.","敵を吸い込む力場を生み出す。","Вы создаёте вихрь, втягивающий в себя врагов.","Crée un vortex qui attire les ennemis.","Erzeuge einen Wirbel, der Gegner anzieht.","Crea un vórtex que atrae a los enemigos.","Crie um vórtice que puxa inimigos.","创造一个漩涡将敌人拉近。","創造一個漩渦將敵人拉近。","적들을 빨아들이는 소용돌이를 생성합니다.","Stwórz wir, który przyciąga przeciwników do siebie.","""TarotCards/Vortex/Description"", """""
"TarotCards/MegaSlash/Name","Curses","75","Death's Sweep","死神の一閃","Смертельный взмах","Piège mortel","Todesstreich","Barrido de la muerte","Rasteira da Morte","死神横扫","死神橫掃","죽음의 수확","Przeciąg Śmierci","""TarotCards/MegaSlash/Name"", """""
